# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: D:\A2560K Project\FPGA\CFP95179K\CFP95179K.csv
# Generated on: Fri Jun 18 22:28:07 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
IO_D_io[2],Unknown,PIN_AF24,4,B4_N1,,,,,,
IO_D_io[3],Unknown,PIN_AH26,4,B4_N0,,,,,,
IO_D_io[4],Unknown,PIN_AD21,4,B4_N0,,,,,,
IO_D_io[5],Unknown,PIN_AH25,4,B4_N1,,,,,,
IO_D_io[6],Unknown,PIN_AC19,4,B4_N0,,,,,,
IO_D_io[7],Unknown,PIN_AF22,4,B4_N0,,,,,,
IO_D_io[8],Unknown,PIN_AG23,4,B4_N1,,,,,,
IO_D_io[9],Unknown,PIN_AE21,4,B4_N1,,,,,,
IO_D_io[10],Unknown,PIN_AB18,4,B4_N0,,,,,,
IO_D_io[11],Unknown,PIN_AE22,4,B4_N0,,,,,,
IO_D_io[12],Unknown,PIN_AB19,4,B4_N0,,,,,,
IO_D_io[13],Unknown,PIN_AG25,4,B4_N1,,,,,,
IO_D_io[14],Unknown,PIN_AD22,4,B4_N0,,,,,,
IO_D_io[15],Unknown,PIN_AB20,4,B4_N0,,,,,,
IO_RNn_o,Unknown,PIN_AC22,4,B4_N0,,,,,,
IO_WRn_o,Unknown,PIN_AE24,4,B4_N0,,,,,,
JOY0_BTN0_io,Unknown,PIN_AD1,2,B2_N1,,,,,,
JOY0_BTN1_io,Unknown,PIN_Y15,3,B3_N0,,,,,,
JOY0_BTN2_io,Unknown,PIN_AE1,2,B2_N1,,,,,,
JOY0_DWN_io,Unknown,PIN_AE2,2,B2_N1,,,,,,
JOY0_LFT_io,Unknown,PIN_AE3,2,B2_N2,,,,,,
JOY0_RGHT_io,Unknown,PIN_AF2,2,B2_N2,,,,,,
JOY0_UP_io,Unknown,PIN_AD2,2,B2_N1,,,,,,
JOYSTICK0_RLY_o,Unknown,PIN_P1,1,B1_N2,,,,,,
JOY1_BTN0_io,Unknown,PIN_M2,1,B1_N2,,,,,,
JOY1_BTN1_io,Unknown,PIN_N3,1,B1_N2,,,,,,
JOY1_BTN2_io,Unknown,PIN_P2,1,B1_N2,,,,,,
JOY1_DWN_io,Unknown,PIN_M1,1,B1_N2,,,,,,
JOY1_LFT_io,Unknown,PIN_N8,1,B1_N2,,,,,,
JOY1_RGHT_io,Unknown,PIN_N4,1,B1_N2,,,,,,
JOY1_UP_io,Unknown,PIN_M3,1,B1_N1,,,,,,
JOYSTICK1_RLY_o,Unknown,PIN_M4,1,B1_N1,,,,,,
LPC_CLK_32Khz_o,Unknown,PIN_V22,5,B5_N1,,,,,,
LPC_IRQn_i,Unknown,PIN_AC26,5,B5_N2,,,,,,
LPC_LDRQn_i,Unknown,PIN_AD27,5,B5_N2,,,,,,
LPC_LFRAMEn_o,Unknown,PIN_AD28,5,B5_N2,,,,,,
LPC_LAD_io[0],Unknown,PIN_AA25,5,B5_N1,,,,,,
LPC_LAD_io[1],Unknown,PIN_Y24,5,B5_N2,,,,,,
LPC_LAD_io[2],Unknown,PIN_AC28,5,B5_N2,,,,,,
LPC_LAD_io[3],Unknown,PIN_AC27,5,B5_N2,,,,,,
LPC_RSTn_o,Unknown,PIN_AE28,5,B5_N2,,,,,,
KBD_CSn_o,Unknown,PIN_H5,1,B1_N1,,,,,,
KBD_CLK_o,Unknown,PIN_H7,1,B1_N0,,,,,,
KBD_INTn_o,Unknown,PIN_G1,1,B1_N1,,,,,,
KBD_MISO_i,Unknown,PIN_G2,1,B1_N1,,,,,,
KBD_MOSI_o,Unknown,PIN_H4,1,B1_N0,,,,,,
MTX_CLK_o,Unknown,PIN_J6,1,B1_N1,,,,,,
MTX_LATCH_o,Unknown,PIN_H3,1,B1_N0,,,,,,
MTX_SERIAL_IN_o,Unknown,PIN_H6,1,B1_N0,,,,,,
STS_CLK_o,Unknown,PIN_G3,1,B1_N0,,,,,,
STS_LATCH_o,Unknown,PIN_J7,1,B1_N1,,,,,,
STS_SERIAL_IN_o,Unknown,PIN_J5,1,B1_N1,,,,,,
OPL3_CLK_o,Unknown,PIN_E28,6,B6_N1,,,,,,
OPM_CLK_o,Unknown,PIN_D27,6,B6_N0,,,,,,
OPN2_CLK_o,Unknown,PIN_D28,6,B6_N0,,,,,,
SID_CLK_o,Unknown,PIN_E27,6,B6_N1,,,,,,
OPL3_INTn_i,Unknown,PIN_F28,6,B6_N1,,,,,,
OPM_INTn_i,Unknown,PIN_F26,6,B6_N1,,,,,,
OPN2_INTn_i,Unknown,PIN_F27,6,B6_N1,,,,,,
RTC_OEn_o,Unknown,PIN_K3,1,B1_N1,,,,,,
RTC_A_o[0],Unknown,PIN_L5,1,B1_N1,,,,,,
RTC_A_o[1],Unknown,PIN_L7,1,B1_N2,,,,,,
RTC_A_o[2],Unknown,PIN_L8,1,B1_N2,,,,,,
RTC_A_o[3],Unknown,PIN_K2,1,B1_N1,,,,,,
RTC_CSn_o,Unknown,PIN_K1,1,B1_N1,,,,,,
RTC_D_io[0],Unknown,PIN_L3,1,B1_N1,,,,,,
RTC_D_io[1],Unknown,PIN_L1,1,B1_N2,,,,,,
RTC_D_io[2],Unknown,PIN_M7,1,B1_N2,,,,,,
RTC_D_io[3],Unknown,PIN_M5,1,B1_N2,,,,,,
RTC_D_io[4],Unknown,PIN_M8,1,B1_N2,,,,,,
RTC_D_io[5],Unknown,PIN_L2,1,B1_N2,,,,,,
RTC_D_io[6],Unknown,PIN_L4,1,B1_N1,,,,,,
RTC_D_io[7],Unknown,PIN_L6,1,B1_N2,,,,,,
RTC_INTn_i,Unknown,PIN_K4,1,B1_N1,,,,,,
RTC_RWn_o,Unknown,PIN_K7,1,B1_N1,,,,,,
SYSRAM_A_o[0],Unknown,PIN_U21,5,B5_N0,,,,,,
SYSRAM_A_o[1],Unknown,PIN_U22,5,B5_N0,,,,,,
SYSRAM_A_o[2],Unknown,PIN_U23,5,B5_N1,,,,,,
SYSRAM_A_o[3],Unknown,PIN_U24,5,B5_N0,,,,,,
SYSRAM_A_o[4],Unknown,PIN_U25,5,B5_N0,,,,,,
SYSRAM_A_o[5],Unknown,PIN_U26,5,B5_N0,,,,,,
SYSRAM_A_o[6],Unknown,PIN_U27,5,B5_N0,,,,,,
SYSRAM_A_o[7],Unknown,PIN_U28,5,B5_N0,,,,,,
SYSRAM_A_o[8],Unknown,PIN_T21,5,B5_N0,,,,,,
SYSRAM_A_o[9],Unknown,PIN_T22,5,B5_N0,,,,,,
SYSRAM_A_o[10],Unknown,PIN_V28,5,B5_N1,,,,,,
SYSRAM_A_o[11],Unknown,PIN_T25,5,B5_N0,,,,,,
SYSRAM_A_o[12],Unknown,PIN_T26,5,B5_N0,,,,,,
SYSRAM_BA0_o,Unknown,PIN_V26,5,B5_N1,,,,,,
SYSRAM_BA1_o,Unknown,PIN_V27,5,B5_N1,,,,,,
SYSRAM_CASn_o,Unknown,PIN_V23,5,B5_N1,,,,,,
SYSRAM_RASn_o,Unknown,PIN_V24,5,B5_N1,,,,,,
SYSRAM_WEn_o,Unknown,PIN_W28,5,B5_N1,,,,,,
SYSRAM_CS0n_o,Unknown,PIN_V25,5,B5_N1,,,,,,
SYSRAM_CKE_o,Unknown,PIN_R21,5,B5_N0,,,,,,
SYSRAM_CLK_o,Unknown,PIN_R22,5,B5_N0,,,,,,
SYSRAM_DQ_io[0],Unknown,PIN_N21,6,B6_N2,,,,,,
SYSRAM_DQ_io[1],Unknown,PIN_N25,6,B6_N2,,,,,,
SYSRAM_DQ_io[2],Unknown,PIN_N26,6,B6_N2,,,,,,
SYSRAM_DQ_io[3],Unknown,PIN_M21,6,B6_N1,,,,,,
SYSRAM_DQ_io[4],Unknown,PIN_M23,6,B6_N2,,,,,,
SYSRAM_DQ_io[5],Unknown,PIN_M24,6,B6_N2,,,,,,
SYSRAM_DQ_io[6],Unknown,PIN_M25,6,B6_N2,,,,,,
SYSRAM_DQ_io[7],Unknown,PIN_M26,6,B6_N2,,,,,,
SYSRAM_DQ_io[8],Unknown,PIN_L28,6,B6_N2,,,,,,
SYSRAM_DQ_io[9],Unknown,PIN_L27,6,B6_N2,,,,,,
SYSRAM_DQ_io[10],Unknown,PIN_L26,6,B6_N1,,,,,,
SYSRAM_DQ_io[11],Unknown,PIN_L25,6,B6_N1,,,,,,
SYSRAM_DQ_io[12],Unknown,PIN_L24,6,B6_N2,,,,,,
SYSRAM_DQ_io[13],Unknown,PIN_L23,6,B6_N1,,,,,,
SYSRAM_DQ_io[14],Unknown,PIN_K28,6,B6_N1,,,,,,
