AA13,VRAM_B_A10,IO_344
AE13,VRAM_B_A11,IO_440
AF13,VRAM_B_A12,IO_467
Y15,VRAM_B_A13,IO_327
AF10,VRAM_B_A14,IO_464
AH8,VRAM_B_A15,IO_502
AA14,VRAM_B_A16,IO_345
AC14,VRAM_B_A17,IO_394
AB13,VRAM_B_A18,IO_368
Y13,VRAM_B_A19,IO_325
AD4,VRAM_B_DQ0,IO_409
AF6,VRAM_B_DQ1,IO_460
AF7,VRAM_B_DQ2,IO_461
AD7,VRAM_B_DQ3,IO_411
AB9,VRAM_B_DQ4,IO_364
AD10,VRAM_B_DQ5,IO_413
AB10,VRAM_B_DQ6,IO_365
Y10,VRAM_B_DQ7,IO_323
AB12,VRAM_B_DQ8,IO_367
AD12,VRAM_B_DQ9,IO_415
AB11,VRAM_B_DQ10,IO_366
AD11,VRAM_B_DQ11,IO_414
AB7,VRAM_B_DQ12,IO_362
AE8,VRAM_B_DQ13,IO_435
AC8,VRAM_B_DQ14,IO_390
AA8,VRAM_B_DQ15,IO_341
AC7,VRAM_B_DQ16,IO_389
AF8,VRAM_B_DQ17,IO_462
AD8,VRAM_B_DQ18,IO_412
AB8,VRAM_B_DQ19,IO_363
AE11,VRAM_B_DQ20,IO_438
AC11,VRAM_B_DQ21,IO_392
AE12,VRAM_B_DQ22,IO_439
AC12,VRAM_B_DQ23,IO_393
AA10,VRAM_B_DQ24,IO_342
AC10,VRAM_B_DQ25,IO_391
AE10,VRAM_B_DQ26,IO_437
AE9,VRAM_B_DQ27,IO_436
AE7,VRAM_B_DQ28,IO_434
AE6,VRAM_B_DQ29,IO_433
AD5,VRAM_B_DQ30,IO_410
AE4,VRAM_B_DQ31,IO_431
AF9,VRAM_B_DQM0,IO_463
AG8,VRAM_B_DQM1,IO_486
AH3,VRAM_B_DQM2,IO_498
AG4,VRAM_B_DQM3,IO_483
AH7,VRAM_B_O\E\,IO_501
AA12,VRAM_B_W\E\,IO_343
